year,country_3_letter_code,total_medals
1896,AUS,2
1896,AUT,5
1896,DEN,6
1896,FRA,11
1896,GBR,7
1896,GER,13
1896,GRE,49
1896,HUN,6
1896,MIX,4
1896,SUI,3
1896,USA,20
1900,AUS,5
1900,AUT,6
1900,BEL,16
1900,BOH,2
1900,CAN,2
1900,CUB,2
1900,DEN,6
1900,ESP,2
1900,FRA,103
1900,GBR,35
1900,GER,9
1900,HUN,5
1900,IND,2
1900,ITA,5
1900,LUX,1
1900,MIX,23
1900,NED,5
1900,NOR,5
1900,SUI,9
1900,SWE,1
1900,USA,48
1904,AUS,4
1904,AUT,3
1904,CAN,6
1904,CUB,3
1904,FRA,1
1904,GBR,2
1904,GER,15
1904,GRE,2
1904,HUN,4
1904,MIX,4
1904,NOR,2
1904,SUI,3
1904,USA,241
1908,ANZ,5
1908,AUT,1
1908,BEL,8
1908,BOH,2
1908,CAN,17
1908,DEN,5
1908,FIN,5
1908,FRA,20
1908,GBR,160
1908,GER,15
1908,GRE,4
1908,HUN,9
1908,ITA,4
1908,NED,2
1908,NOR,8
1908,RSA,2
1908,RUS,3
1908,SWE,26
1908,USA,47
1912,ANZ,7
1912,AUT,5
1912,BEL,6
1912,CAN,8
1912,DEN,12
1912,FIN,26
1912,FRA,17
1912,GBR,44
1912,GER,26
1912,GRE,2
1912,HUN,8
1912,ITA,6
1912,NED,3
1912,NOR,10
1912,RSA,7
1912,RUS,5
1912,SWE,68
1912,USA,63
1920,AUS,3
1920,BEL,36
1920,BRA,3
1920,CAN,9
1920,DEN,13
1920,ESP,2
1920,EST,3
1920,FIN,35
1920,FRA,45
1920,GBR,48
1920,GRE,1
1920,ITA,24
1920,JPN,3
1920,LUX,1
1920,NED,13
1920,NOR,32
1920,NZL,1
1920,RSA,11
1920,SUI,11
1920,SWE,64
1920,TCH,3
1920,USA,96
1924,ARG,6
1924,AUS,6
1924,AUT,8
1924,BEL,14
1924,CAN,5
1924,DEN,10
1924,EST,6
1924,FIN,49
1924,FRA,47
1924,GBR,40
1924,HAI,1
1924,HUN,9
1924,ITA,16
1924,JPN,1
1924,NED,13
1924,NOR,27
1924,NZL,1
1924,POL,2
1924,POR,1
1924,ROU,1
1924,RSA,3
1924,SUI,29
1924,SWE,31
1924,TCH,10
1924,URU,1
1924,USA,108
1924,YUG,2
1928,ARG,7
1928,AUS,4
1928,AUT,10
1928,BEL,4
1928,CAN,17
1928,CHI,1
1928,DEN,6
1928,EGY,4
1928,ESP,1
1928,EST,5
1928,FIN,28
1928,FRA,23
1928,GBR,23
1928,GER,34
1928,HAI,1
1928,HUN,9
1928,IND,1
1928,IRL,1
1928,ITA,19
1928,JPN,5
1928,NED,20
1928,NOR,18
1928,NZL,1
1928,PHI,1
1928,POL,5
1928,POR,1
1928,RSA,3
1928,SUI,16
1928,SWE,29
1928,TCH,10
1928,URU,1
1928,USA,64
1928,YUG,5
1932,ARG,4
1932,AUS,5
1932,AUT,7
1932,CAN,23
1932,DEN,7
1932,ESP,1
1932,FIN,28
1932,FRA,22
1932,GBR,19
1932,GER,23
1932,HUN,17
1932,IND,1
1932,IRL,2
1932,ITA,36
1932,JPN,18
1932,LAT,1
1932,MEX,2
1932,NED,7
1932,NOR,10
1932,NZL,2
1932,PHI,3
1932,POL,8
1932,RSA,5
1932,SUI,3
1932,SWE,27
1932,TCH,4
1932,URU,1
1932,USA,120
1936,ARG,8
1936,AUS,1
1936,AUT,16
1936,BEL,2
1936,CAN,10
1936,DEN,6
1936,EGY,5
1936,EST,7
1936,FIN,25
1936,FRA,20
1936,GBR,17
1936,GER,96
1936,HUN,18
1936,IND,1
1936,ITA,22
1936,JPN,18
1936,LAT,2
1936,MEX,3
